estimator	min_score	mean_score	max_score	std_score	cls__criterion	cls__max_depth	cls__max_features	tfidf__use_idf	vect__ngram_range	cls__C	cls__loss	cls__alpha	cls__kernel	cls__n_estimators
RandomForestClassifier	0.94015	0.954045	0.9676	0.009084036822910839	entropy		log2	False	(1, 2)					100
RandomForestClassifier	0.9423499999999999	0.9539199999999999	0.9634	0.008213561955692544	gini		log2	True	(1, 1)					150
RandomForestClassifier	0.9358	0.953915	0.9671	0.010485371953345292	gini		sqrt	False	(1, 1)					150
RandomForestClassifier	0.9376500000000001	0.9538599999999999	0.9661000000000001	0.009810168194276781	entropy		10	True	(1, 1)					100
RandomForestClassifier	0.9397999999999999	0.95375	0.96455	0.009446639614169696	gini		10	False	(1, 2)					150
RandomForestClassifier	0.9399	0.95374	0.971	0.010633292058436106	gini		10	True	(1, 1)					100
RandomForestClassifier	0.9403	0.9536750000000002	0.9658500000000001	0.009499927631303305	gini		10	False	(1, 1)					100
RandomForestClassifier	0.9385499999999999	0.95366	0.96585	0.009502625952861679	entropy		sqrt	False	(1, 1)					150
SVC	0.9371	0.9535899999999999	0.9648	0.008699706891614225				True	(1, 2)	10.0			sigmoid	
RandomForestClassifier	0.9395	0.9535549999999999	0.96605	0.00954380558268032	gini		log2	False	(1, 2)					100
SVC	0.9329999999999999	0.9535199999999999	0.9653999999999999	0.011057739371137321				True	(1, 2)	0.5			rbf	
RandomForestClassifier	0.93845	0.953505	0.9693499999999999	0.010971518810082747	entropy		auto	False	(1, 1)					150
SVC	0.937	0.95346	0.9691000000000001	0.01112377633719772				False	(1, 2)	0.8			poly	
RandomForestClassifier	0.9373500000000001	0.953445	0.9649500000000001	0.01049546211464744	entropy		10	True	(1, 2)					100
RandomForestClassifier	0.9391999999999999	0.953435	0.9691000000000001	0.010502857944388311	entropy		sqrt	False	(1, 2)					150
RandomForestClassifier	0.9355	0.953415	0.9645	0.008797387396267162	gini		10	True	(1, 2)					150
RandomForestClassifier	0.9429500000000001	0.9534100000000001	0.9613	0.0074109648494646175	gini		log2	True	(1, 2)					150
RandomForestClassifier	0.9326	0.9533800000000001	0.96785	0.011480270031667399	gini		auto	False	(1, 2)					80
RandomForestClassifier	0.9399000000000001	0.9533799999999999	0.9709	0.009795284579837379	entropy		log2	False	(1, 1)					100
RandomForestClassifier	0.9323499999999999	0.953355	0.9694499999999999	0.012650562240469782	gini		auto	False	(1, 2)					150
RandomForestClassifier	0.9328500000000001	0.9532950000000001	0.96755	0.011106674794914978	entropy		auto	False	(1, 2)					150
RandomForestClassifier	0.9369000000000001	0.9531550000000001	0.96425	0.008134047270578171	entropy		10	True	(1, 2)					150
RandomForestClassifier	0.9372	0.953125	0.9663	0.009326688855108239	entropy		auto	True	(1, 1)					100
RandomForestClassifier	0.92955	0.9530799999999999	0.9665500000000001	0.012156874598349712	gini		sqrt	False	(1, 2)					150
RandomForestClassifier	0.9342	0.9530799999999999	0.96675	0.010326572519476157	entropy		sqrt	True	(1, 2)					150
RandomForestClassifier	0.9317	0.95307	0.9647	0.010335598676419302	gini		auto	True	(1, 1)					80
RandomForestClassifier	0.9341	0.95304	0.9661	0.01106489493849803	gini		auto	True	(1, 1)					100
RandomForestClassifier	0.9361999999999999	0.9529549999999999	0.9682499999999999	0.01227229501764034	gini		10	False	(1, 2)					80
RandomForestClassifier	0.9414	0.9529099999999999	0.96575	0.008220608250001947	entropy		10	True	(1, 2)					80
RandomForestClassifier	0.93565	0.9528549999999999	0.9682000000000001	0.011929552590101611	gini		auto	False	(1, 2)					100
RandomForestClassifier	0.9445	0.9528399999999999	0.96535	0.007050560261426049	entropy		log2	True	(1, 2)					80
RandomForestClassifier	0.93105	0.95282	0.9732999999999999	0.012474077120172034	gini		auto	False	(1, 1)					100
RandomForestClassifier	0.94095	0.95281	0.9665499999999999	0.00957206351838514	gini		10	True	(1, 2)					100
RandomForestClassifier	0.93515	0.9527199999999999	0.9692	0.011180903362430059	gini		auto	False	(1, 1)					150
RandomForestClassifier	0.92495	0.9527150000000002	0.97195	0.014673531442703216	entropy		auto	False	(1, 2)					80
RandomForestClassifier	0.9366500000000001	0.9527050000000001	0.9689	0.009860513424766465	gini		sqrt	True	(1, 1)					100
RandomForestClassifier	0.93165	0.9527050000000001	0.96565	0.010349165425289124	entropy		sqrt	False	(1, 2)					100
RandomForestClassifier	0.93565	0.9526850000000001	0.9629	0.008947067955481289	entropy		log2	False	(1, 2)					80
MultinomialNB	0.9401999999999999	0.9526200000000001	0.9601	0.005688549903094827				False	(1, 2)			0.01		
RandomForestClassifier	0.9361	0.952595	0.9675	0.011065248528614258	gini		sqrt	False	(1, 1)					100
RandomForestClassifier	0.9325	0.95257	0.96575	0.010660351776559723	gini		auto	True	(1, 2)					150
RandomForestClassifier	0.9314	0.95253	0.9675	0.010727679152547385	entropy		auto	True	(1, 1)					150
RandomForestClassifier	0.93765	0.95251	0.96935	0.011692707128804694	gini		log2	True	(1, 1)					100
RandomForestClassifier	0.9312499999999999	0.9524299999999999	0.9656999999999999	0.010835663339177725	entropy		10	True	(1, 1)					80
